brand_name,model_name,energy,gearbox,transmission,carrosserie,year,mileage_km,age,mileage_per_year,log_price
bmw,série 7,essence,automatique,traction,berline,2008,220000,17,12941.176470588236,10.915106645867503
bmw,série 4 gran coupé,essence,automatique,traction,berline,2019,90000,6,15000.0,11.813037464800539
mahindra,scorpio suv,diesel,manuelle,intégrale,suv,2013,328000,12,27333.333333333332,10.292179440058462
volkswagen,amarok,diesel,manuelle,intégrale,pick up,2016,180000,9,20000.0,11.373674891823535
fiat,doblo combi,essence,manuelle,traction,monospace,2021,47000,4,11750.0,10.819778284410283
mercedes-benz,classe e coupé,essence,automatique,propulsion,coupé,2011,60000,14,4285.714285714285,10.915106645867503
land rover,freelander,diesel,automatique,intégrale,suv,2009,193000,16,12062.5,11.050905878263567
land rover,discovery sport,diesel,automatique,traction,suv,2016,94000,9,10444.444444444445,11.678448377988165
mg,gs,essence,automatique,intégrale,suv,2017,100000,8,12500.0,11.0186455364637
bmw,série 4 coupé,essence,automatique,traction,coupé,2017,78000,8,9750.0,11.608244735642321
haval,h6,essence,automatique,traction,suv,2019,55000,6,9166.666666666666,11.350418300109132
mercedes-benz,cls,essence,automatique,propulsion,coupé,2009,178000,16,11125.0,10.92415631759022
mazda,6,essence,automatique,traction,berline,2014,125000,11,11363.636363636364,10.839600519357369
hyundai,veloster,essence,automatique,traction,citadine,2016,140000,9,15555.555555555555,10.712215345197256
mg,zs,essence,automatique,traction,suv,2022,67000,3,22333.333333333332,11.263194068746921
bmw,série 7,essence,automatique,traction,berline,2008,300000,17,17647.058823529413,10.714439990727769
mitsubishi,asx,essence,automatique,intégrale,suv,2021,55000,4,13750.0,11.717970216649181
mg,gs,essence,automatique,intégrale,suv,2017,115000,8,14375.0,11.034905792929415
mercedes-benz,classe c,diesel,automatique,traction,citadine,2019,80000,6,13333.333333333334,11.904974309480183
volkswagen,golf 8,essence,manuelle,traction,compacte,2021,16000,4,4000.0,11.759793355371237
infiniti,fx,essence,automatique,traction,suv,2008,190000,17,11176.470588235294,10.859018228147887
kia,sorento,diesel,automatique,intégrale,suv,2012,210000,13,16153.846153846154,10.950824090522445
dongfeng,sx3,essence,manuelle,traction,suv,2021,30000,4,7500.0,11.082157933374816
mercedes-benz,classe e,essence,automatique,traction,citadine,2011,135000,14,9642.857142857143,11.251573687764477
kia,sportage,essence,automatique,traction,suv,2018,101000,7,14428.57142857143,11.350418300109132
bmw,série 1,essence,automatique,traction,citadine,2020,70000,5,14000.0,11.429554725537322
hyundai,tucson,essence,automatique,traction,suv,2023,24000,2,12000.0,11.898194668458823
bmw,x3,essence,automatique,intégrale,suv,2014,219000,11,19909.090909090908,11.225256725762893
bmw,série 4 gran coupé,essence,automatique,traction,citadine,2018,100000,7,14285.714285714286,11.502885230075814
volkswagen,golf 7,essence,automatique,traction,compacte,2019,120000,6,20000.0,11.289794413577894
renault,kadjar,essence,automatique,traction,suv,2018,150000,7,21428.571428571428,11.097425172408931
peugeot,3008,essence,automatique,traction,suv,2020,169000,5,33800.0,11.289794413577894
audi,q3,essence,automatique,traction,suv,2017,77000,8,9625.0,11.350418300109132
chery,tiggo 3,essence,manuelle,traction,suv,2018,75000,7,10714.285714285714,10.757924157061597
haval,h6,essence,automatique,traction,suv,2020,120000,5,24000.0,11.251573687764477
skoda,octavia,essence,automatique,traction,berline,2022,30000,3,10000.0,11.651826167019166
peugeot,3008,essence,automatique,traction,suv,2017,260000,8,32500.0,11.251573687764477
dongfeng,sx3,essence,manuelle,traction,suv,2021,32000,4,8000.0,11.082157933374816
volkswagen,golf 8,essence,automatique,traction,compacte,2021,70000,4,17500.0,11.736077016252437
porsche,cayenne,essence,automatique,traction,suv,2009,212000,16,13250.0,11.264476926102367
audi,a3 sportback,essence,automatique,intégrale,compacte,2023,900,2,450.0,11.813037464800539
mercedes-benz,gla,essence,automatique,traction,suv,2016,74000,9,8222.222222222223,11.635151947212842
hyundai,tucson,hybride diesel,automatique,traction,suv,2021,51000,4,12750.0,11.849404844423074
seat,ibiza,essence,automatique,traction,citadine,2020,100000,5,20000.0,11.127277689932466
bmw,série 3,essence,automatique,traction,berline,2016,152000,9,16888.88888888889,11.350418300109132
hyundai,grand i10,essence,automatique,traction,citadine,2021,54000,4,13500.0,10.87806606028079
haval,jolion,essence,automatique,traction,suv,2022,40000,3,13333.333333333334,11.373674891823535
chery,tiggo 2,essence,manuelle,traction,suv,2019,60000,6,10000.0,10.680539205318292
bmw,série 3,essence,automatique,traction,berline,2017,117000,8,14625.0,11.385103457032141
peugeot,2008,essence,manuelle,traction,suv,2021,30000,4,7500.0,11.429554725537322
hyundai,grand i10,essence,manuelle,traction,citadine,2022,30000,3,10000.0,10.87806606028079
seat,leon,essence,automatique,traction,compacte,2022,70000,3,23333.333333333332,11.718320437984499
mercedes-benz,classe a,essence,automatique,traction,compacte,2015,125000,10,12500.0,11.127277689932466
hyundai,kona,hybride léger essence,manuelle,traction,suv,2021,30000,4,7500.0,11.277215789596893
volkswagen,golf 7,essence,manuelle,traction,compacte,2018,130000,7,18571.428571428572,11.289794413577894
mercedes-benz,classe s,essence,automatique,traction,berline,2008,170000,17,10000.0,11.264476926102367
volkswagen,golf 7,essence,automatique,traction,compacte,2019,180000,6,30000.0,11.06665398721974
volkswagen,golf 7,essence,manuelle,propulsion,compacte,2018,87000,7,12428.57142857143,11.149096419938578
kia,sportage,essence,automatique,traction,suv,2022,23000,3,7666.666666666667,11.870606902224587
citroën,berlingo utilitaire,diesel,manuelle,traction,utilitaire,2018,170000,7,24285.714285714286,10.53212287826962
peugeot,3008,essence,automatique,traction,suv,2018,132000,7,18857.14285714286,11.349241150793087
audi,a4,essence,automatique,traction,berline,2008,241000,17,14176.470588235294,10.819798284210286
seat,leon,essence,manuelle,traction,citadine,2020,65000,5,13000.0,11.19822841866684
mercedes-benz,cla,diesel,automatique,traction,citadine,2013,240000,12,20000.0,11.277215789596893
peugeot,3008,essence,manuelle,traction,citadine,2010,230000,15,15333.333333333334,10.308985993422082
audi,a3 sportback,essence,automatique,traction,citadine,2019,70000,6,11666.666666666666,11.461642696843066
volkswagen,golf 7,essence,automatique,traction,compacte,2019,64000,6,10666.666666666666,11.211833885608513
mercedes-benz,classe a,diesel,automatique,traction,compacte,2019,50000,6,8333.333333333334,11.49273296168228
haval,h2,essence,automatique,traction,suv,2019,40000,6,6666.666666666667,11.141876276228
mercedes-benz,cla,essence,automatique,traction,citadine,2014,163000,11,14818.181818181818,11.302216779257382
volkswagen,golf 8,essence,automatique,traction,compacte,2021,40000,4,10000.0,11.884495917930655
mercedes-benz,classe e,diesel,automatique,traction,berline,2011,330000,14,23571.428571428572,11.251573687764477
mercedes-benz,classe e,essence,automatique,traction,berline,2010,330000,15,22000.0,10.839600519357369
chevrolet,cruze,essence,manuelle,traction,berline,2018,90000,7,12857.142857142857,10.596659732783579
haval,h6,essence,automatique,traction,suv,2019,90000,6,15000.0,11.264476926102367
volkswagen,golf 7,essence,automatique,traction,compacte,2015,140000,10,14000.0,10.859018228147887
haval,h6,essence,automatique,traction,suv,2022,13000,3,4333.333333333333,11.922256424370241
mercedes-benz,cla,essence,automatique,traction,berline,2018,20000,7,2857.1428571428573,11.652696102959753
fiat,tipo 5 portes,essence,manuelle,traction,compacte,2018,75000,7,10714.285714285714,10.736418414365376
bmw,série 2 gran coupé,essence,automatique,traction,berline,2022,21000,3,7000.0,11.813037464800539
kia,sportage,essence,automatique,traction,suv,2020,40000,5,8000.0,11.686887175419702
volkswagen,golf 7,essence,manuelle,traction,compacte,2019,40000,6,6666.666666666667,11.211833885608513
honda,accord,essence,automatique,traction,berline,2022,11000,3,3666.6666666666665,11.813037464800539
citroën,jumpy fourgon,diesel,manuelle,traction,utilitaire,2019,170000,6,28333.333333333332,11.082157933374816
audi,a5 cabriolet,essence,automatique,traction,cabriolet,2010,120000,15,8000.0,10.985309671896763
peugeot,2008,essence,manuelle,traction,suv,2017,44000,8,5500.0,10.896757843893464
bmw,série 4 coupé,essence,automatique,propulsion,coupé,2019,90000,6,15000.0,11.813037464800539
peugeot,208,essence,manuelle,traction,citadine,2020,60000,5,12000.0,10.463131911491967
volkswagen,golf 8,essence,manuelle,traction,compacte,2020,26000,5,5200.0,11.599112335481124
audi,q3,essence,automatique,traction,suv,2017,100000,8,12500.0,11.407576060361786
citroën,c3,essence,manuelle,traction,citadine,2019,58000,6,9666.666666666666,10.703266939811954
ford,ranger,diesel,automatique,traction,pick up,2014,191000,11,17363.636363636364,11.127277689932466
mercedes-benz,classe a,essence,manuelle,traction,compacte,2013,182000,12,15166.666666666666,11.034905792929415
chery,tiggo 8 pro,essence,automatique,traction,suv,2022,80000,3,26666.666666666668,11.472113887062386
mg,hs,essence,automatique,intégrale,suv,2021,35000,4,8750.0,11.502885230075814
volkswagen,tiguan,essence,automatique,traction,suv,2018,60000,7,8571.42857142857,11.407576060361786
